name;objective value;method;solve_qp_relax;neighbour_node_pruning;smart_dc_verification;solve_cvp_globally;nodes;time;idealized_time;DCs;INGCs;Nr_total_CVPs;Nodes_pruned;Neighbour_nodes_pruned;cb_time;node_info_time;modify_cut_list_time;subproblems_time;ll_model_time;ll_modify_time;ll_solve_time;scoop_model_time;scoop_modify_time;scoop_solve_time;cgp_model_time;cgp_solve_time;cvp_model_time;cvp_modify_time;cvp_solve_time;NNP_time;rel_mip_gap;total_time_CVPs;idealized_time_CVPs;nr_refinements;best_upper_bound;nr_UL_vars;nr_LL_vars;nr_UL_cnstrs;nr_LL_cnstrs;min_UL_obj_coeff;max_UL_obj_coeff;min_LL_obj_coeff;max_LL_obj_coeff;Q_eig_min;Q_eig_max;P_eig_min;P_eig_max;nr_bf_sets_recycled
QuadraticMultiKnapsack-hp1-1-14-14;-2.0;B+DC;False;False;False;True;0;0.1736304759979248;0.15191650390625;1;0;15;0;0;0.11165285110473633;0.0006880760192871094;2.7418136596679688e-05;0.09780526161193848;0.016594648361206055;0.0008397102355957031;0.004255056381225586;0.01821589469909668;0.0009777545928955078;0.0032296180725097656;0.006022214889526367;0.00955963134765625;0.006609201431274414;0.0016589164733886719;0.029842615127563477;0;0.0;0.029730796813964844;0.008016824722290039;0;-2.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-3.0;B+DC;False;False;False;True;0;0.17242765426635742;0.1525888442993164;1;0;15;0;0;0.11270380020141602;0.0009632110595703125;4.8160552978515625e-05;0.09469151496887207;0.016398906707763672;0.001085042953491211;0.005391120910644531;0.016748428344726562;0.0007917881011962891;0.0031890869140625;0.005764007568359375;0.009331703186035156;0.006181478500366211;0.001828908920288086;0.027981042861938477;0;0.0;0.027881383895874023;0.008042573928833008;0;-3.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-3.0;B+DC;False;False;False;True;0;0.1645188331604004;0.14543867111206055;1;0;15;0;0;0.10650634765625;0.0006933212280273438;3.409385681152344e-05;0.0935211181640625;0.016685009002685547;0.0008094310760498047;0.003800630569458008;0.017250537872314453;0.0007598400115966797;0.003172159194946289;0.005318880081176758;0.011445760726928711;0.0063130855560302734;0.001458883285522461;0.026506900787353516;0;0.0;0.026421546936035156;0.0073413848876953125;0;-3.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-3.0;B+DC;False;False;False;True;0;0.13373947143554688;0.11997723579406738;1;0;10;0;0;0.07430481910705566;0.0006682872772216797;2.9087066650390625e-05;0.07865643501281738;0.01711869239807129;0.0008070468902587891;0.0038437843322753906;0.017665863037109375;0.0007588863372802734;0.0031936168670654297;0.0035521984100341797;0.005559444427490234;0.006468772888183594;0.0009639263153076172;0.01872420310974121;0;0.0;0.018663644790649414;0.004901409149169922;0;-3.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-4.0;B+DC;False;False;False;True;0;0.16368722915649414;0.14485502243041992;1;0;15;0;0;0.10501980781555176;0.0006880760192871094;2.956390380859375e-05;0.09269881248474121;0.017305374145507812;0.0009257793426513672;0.003991127014160156;0.018039464950561523;0.0010404586791992188;0.0030379295349121094;0.005274295806884766;0.008780241012573242;0.00648188591003418;0.0014925003051757812;0.026329755783081055;0;0.0;0.026249170303344727;0.007416963577270508;0;-4.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-2.0;B+DC;False;False;False;True;0;0.14174485206604004;0.12913799285888672;1;0;10;0;0;0.07451534271240234;0.0008783340454101562;4.124641418457031e-05;0.08529305458068848;0.021528005599975586;0.0010120868682861328;0.0043103694915771484;0.019407272338867188;0.000835418701171875;0.0032546520233154297;0.0036401748657226562;0.00571894645690918;0.007020235061645508;0.0009694099426269531;0.01759648323059082;0;0.0;0.017539501190185547;0.0049326419830322266;0;-2.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-2.0;B+DC;False;False;False;True;0;0.19196772575378418;0.1756422519683838;1;3;10;0;0;0.11110258102416992;0.001859903335571289;9.894371032714844e-05;0.12097311019897461;0.02446603775024414;0.0020380020141601562;0.01085209846496582;0.02281785011291504;0.003658294677734375;0.012961149215698242;0.004397153854370117;0.007162570953369141;0.009747028350830078;0.0015306472778320312;0.02134227752685547;0;0.0;0.021290063858032227;0.004964590072631836;0;-2.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-2.0;B+DC;False;False;False;True;0;0.1607348918914795;0.14621615409851074;1;3;10;0;0;0.09758424758911133;0.0018262863159179688;0.00011610984802246094;0.09578347206115723;0.01745891571044922;0.0016660690307617188;0.008135080337524414;0.018551111221313477;0.002916097640991211;0.010185718536376953;0.0036516189575195312;0.0058100223541259766;0.006663799285888672;0.001283884048461914;0.01946115493774414;0;0.0;0.019404172897338867;0.004885435104370117;0;-2.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-2.0;B+DC;False;False;False;True;0;0.1181039810180664;0.11239457130432129;0;2;5;1;0;0.05280876159667969;0.0010089874267578125;5.817413330078125e-05;0.07294511795043945;0.018408536911010742;0.0009636878967285156;0.0056836605072021484;0.01873469352722168;0.003149747848510742;0.007242441177368164;0.0016644001007080078;0.0021524429321289062;0.006681680679321289;0.0006062984466552734;0.007657527923583984;0;0.0;0.0076351165771484375;0.0019257068634033203;0;-2.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
QuadraticMultiKnapsack-hp1-1-14-14;-1.0;B+DC;False;False;False;True;1;0.20001673698425293;0.1754896640777588;1;0;20;1;0;0.13897204399108887;0.0006797313690185547;2.8848648071289062e-05;0.10903596878051758;0.017354726791381836;0.0007417201995849609;0.0038695335388183594;0.017333030700683594;0.0022428035736083984;0.005436897277832031;0.007078886032104492;0.011143684387207031;0.006129264831542969;0.0020351409912109375;0.03567028045654297;0;0.0;0.03555941581726074;0.011032342910766602;0;-1.0;1;1;0;4;-1;1;0;0;1.0;1.0;0.0;0.0;0
